,Unnamed: 0,Unnamed: 0.1,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
0,7,0.0001609010458567,0.1486014860148601,0.8,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0022226338210779,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0874166091557395,0.0063063063063063,0.0063063063063063,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045,0.0,0.5896642707669912,0.0404040404040404,1.0,0.5443037974683543,0.6951835634893904,0.6394350595402936,0.5657894736842105,0.0
1,8,0.0001838869095506,0.1486014860148601,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.0967741935483871,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0025930727912576,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.1009125067096081,0.0063063063063063,0.0063063063063063,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045,0.0018018018018018,0.2617596215085069,0.0808080808080808,1.0,0.780590717299578,0.2643987874705288,0.2412074217668235,0.6447368421052632,0.0
2,11,0.0002528445006321,0.1486014860148601,0.8,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0092609742544915,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.1200828157349896,0.0063063063063063,0.0063063063063063,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045,0.0027027027027027,0.4739332180875262,0.0707070707070707,1.0,1.0,0.4890535533849781,0.457214068125173,0.6710526315789473,0.0
3,18,0.0004137455464889,0.1486014860148601,0.8,0.5,0.5,0.5,0.0,1.0,0.0,1.0,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0014817558807186,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0885668276972624,0.0063063063063063,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0,0.0,0.0045045045045045,0.0027027027027027,0.30179237558002,0.3232323232323232,1.0,0.320675105485232,0.2495789828224991,0.3065632788701191,0.8026315789473684,0.0
4,21,0.0004827031375703,0.1486014860148601,0.8,0.5,0.5,1.0,0.0,1.0,0.0,1.0,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0185219485089831,1.0,0.0009009009009009,0.0,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.1277509393451422,0.0063063063063063,0.0063063063063063,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045,0.0027027027027027,0.3713947775452643,0.1313131313131313,1.0,0.6582278481012658,0.4250589424048501,0.4284131819440598,0.7368421052631579,0.0
5,56,0.0012872083668543,0.1486014860148601,0.0,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0018521948508983,0.5,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0009009009009009,1.0,0.0,0.0009009009009009,0.0,0.082969097461851,0.0009009009009009,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.2,0.8,0.5,1.0,0.0,0.0009009009009009,0.0036036036036036,0.0081081081081081,0.5781093622054408,0.1515151515151515,1.0,0.3544303797468354,0.7514314584035029,0.7970091387427305,0.4210526315789473,1.0
6,126,0.0028962188254223,1.0,0.4,0.5,0.5,1.0,0.0,1.0,0.6666666666666667,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0059270235228746,1.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0888735526416685,0.0009009009009009,0.0018018018018018,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045,0.0027027027027027,0.2381039031935219,0.0606060606060606,0.8585774058577406,0.3417721518987341,0.3166049174806332,0.3284408751038493,0.75,0.0
7,138,0.0031720491897483,0.3530035300353003,0.4,0.0,0.5,1.0,0.0,1.0,0.6666666666666667,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0125949249861085,1.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0901771336553945,0.0,0.0018018018018018,0.0,0.0,0.5,0.3333333333333333,0.0930232558139534,0.1538461538461538,0.5,0.3333333333333333,0.0,0.2,0.5,0.3333333333333333,0.0,0.0,0.0045045045045045,0.0018018018018018,0.552179055590938,0.0707070707070707,0.7682008368200837,0.561181434599156,0.6672280229033345,0.6773746884519524,0.5263157894736842,0.0
8,163,0.003746695782094,0.2554025540255402,0.0,0.5,0.5,0.0,0.0138888888888888,1.0,0.0,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0055565845526949,0.5,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.084272678475577,0.0009009009009009,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.2,0.8,0.5,1.0,0.0009009009009009,0.0,0.0,0.0081081081081081,0.4114275316167773,0.1313131313131313,0.8184100418410042,0.4388185654008438,0.5186931626810374,0.4868457490999723,0.6842105263157894,1.0
9,199,0.0045741868750718,0.2554025540255402,0.0,0.5,0.5,0.5,0.0138888888888888,1.0,0.0,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0144471198370068,0.5,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0924775707384402,0.0,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.2692307692307693,0.5,1.0,0.0,0.8,0.5,1.0,0.0009009009009009,0.0,0.0,0.0081081081081081,0.4114275316167773,0.1313131313131313,0.8184100418410042,0.4388185654008438,0.5186931626810374,0.4868457490999723,0.6842105263157894,1.0
