,census_tract,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
951,0.5772922993258547,0.5,0.0,0.0,0.013888888888888888,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0760626398210291,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.1773512612197112,0.6485,0.5562913907284768,0.23558897243107768,0.26639892904953144,0.3276471492239127,0.631578947368421,0.0
1076,0.3213631559819632,0.5,0.0,0.0,0.013888888888888888,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.09843400447427293,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.13296909923014155,0.4955,0.48410596026490066,0.2756892230576441,0.1598776056607382,0.15921315506377745,0.43421052631578944,0.0
1092,,0.5,0.0,0.0,0.986111111111111,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.10738255033557048,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1158,0.8588604522851426,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.024608501118568233,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.22829673253627558,0.8277,0.42715231788079466,0.16040100250626566,0.12564543889845095,0.2575687720915936,0.75,1.0
1167,0.3142800422735874,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.1498881431767338,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,0.2222222222222222,0.15340405151310887,0.7017,0.48410596026490066,0.3233082706766917,0.07477529164276152,0.06884893191947133,0.43421052631578944,1.0
1168,0.3142826557738516,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.16554809843400448,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,0.2222222222222222,0.21226097136978037,0.6265999999999999,0.48410596026490066,0.2606516290726817,0.13903231975521133,0.12248347932995235,0.5789473684210527,1.0
1170,0.3142826557738516,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.23937360178970918,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,0.2222222222222222,0.21226097136978037,0.6265999999999999,0.48410596026490066,0.2606516290726817,0.13903231975521133,0.12248347932995235,0.5789473684210527,1.0
1424,0.31814671152148577,0.5,0.0,0.0,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.11633109619686802,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.1405967289885408,0.7928000000000001,0.48410596026490066,0.39097744360902253,0.18722509083954866,0.1702781619794068,0.5657894736842105,0.0
1506,0.3179741061081103,0.5,0.0,0.0,0.986111111111111,1.0,0.3333333333333333,0.967741935483871,0.0,1.0,1.0,1.0,0.0894854586129754,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.22332990385638768,0.9979000000000001,0.48410596026490066,0.17543859649122806,0.09542933639319182,0.21161825726141076,0.894736842105263,0.0
1628,,0.5,0.0,0.0,0.986111111111111,1.0,0.3333333333333333,0.967741935483871,0.0,1.0,1.0,1.0,0.0894854586129754,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7777777777777777,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.09523809523809523,0.07692307692307693,0.5,0.3333333333333333,1.0,0.2,0.5,0.3333333333333333,1.0,0.0,1.0000000000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1727,0.31569939291116356,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.21923937360178972,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,0.3333333333333333,0.1481534040515131,0.3223,0.48410596026490066,0.48370927318295737,0.23599158538917575,0.22959889349930843,0.0,1.0
1805,0.560027393354666,0.5,0.0,0.0,0.0,1.0,0.6666666666666667,1.0,0.0,1.0,1.0,1.0,0.11409395973154363,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,0.0,0.19179054173909957,0.4924,0.4615894039735099,0.5338345864661653,0.24899598393574296,0.24220070693099738,0.17105263157894735,1.0
2163,0.31439098843988234,0.5,0.0,0.0,0.08333333333333333,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.08053691275167786,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.10228119345797708,0.6961,0.48410596026490066,0.14786967418546365,0.04264677758653662,0.04963885046872598,0.631578947368421,0.0
2193,0.5600380057496963,0.5,0.0,0.0,0.986111111111111,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.08053691275167786,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.18717848653634653,0.4814,0.4615894039735099,0.2982456140350877,0.23082807420156817,0.2541877977562625,0.35526315789473684,0.0
2248,0.6300850311552111,0.5,0.0,0.0,0.08333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.049217002237136466,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,0.0,1.0,0.17174584028098058,0.9376000000000001,0.571523178807947,0.12531328320802004,0.09141327213616371,0.15706162594129397,0.763157894736842,0.0
2336,0.3194533472602643,0.5,0.0,0.0,0.041666666666666664,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.06040268456375839,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,0.0,0.0,0.2,1.0,0.27562351438606447,0.8749,0.48410596026490066,0.49373433583959897,0.4218779881430484,0.43384047948363297,0.7368421052631579,0.0
2363,0.3180313039254443,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.006711409395973153,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.2513570085500408,0.9945,0.48410596026490066,0.15037593984962405,0.1227768215720023,0.21330874442907635,0.7236842105263157,0.0
2582,0.3142193069912409,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.053691275167785234,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.23287331039131512,0.6278,0.48410596026490066,0.5338345864661653,0.25855804169057184,0.25972030121407713,0.0,0.0
2590,0.3142193069912409,0.5,0.0,0.0,0.0,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.08053691275167786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.23287331039131512,0.6278,0.48410596026490066,0.5338345864661653,0.25855804169057184,0.25972030121407713,0.0,0.0
2617,0.32136313838263675,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.08053691275167786,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.11459183311455634,0.4263,0.48410596026490066,0.5463659147869674,0.14935934213042648,0.1338558475487936,0.18421052631578946,0.0
2715,0.31436993964310034,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.1185682326621924,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,0.0,0.0,0.2,0.2222222222222222,0.19654450633270656,0.506,0.48410596026490066,0.15288220551378445,0.033084719831707785,0.03550023052097741,0.3421052631578947,1.0
2830,0.6301255272098771,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.040268456375838924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.14542164827757476,0.12119999999999999,0.571523178807947,0.38596491228070173,0.12736660929432014,0.1921008145074535,0.5921052631578947,0.0
2851,0.6302012307210347,0.0,0.0,0.0,0.986111111111111,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.020134228187919465,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.0,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.1874977826657679,0.2488,0.571523178807947,0.2882205513784461,0.2488047427806464,0.22114645766098046,0.48684210526315785,0.0
3019,0.560033737912562,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.013422818791946308,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.26568985702628867,0.5379,0.4615894039735099,0.3684210526315789,0.3293172690763052,0.305824496695866,0.15789473684210525,0.0
3221,0.5600169745522479,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.011185682326621923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.1900166743534253,0.7234999999999999,0.4615894039735099,0.3057644110275689,0.13195639701663797,0.19471338558475487,0.3289473684210526,0.0
3224,0.5600151618214255,0.5,0.0,0.0,0.0,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.015659955257270694,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,0.8888888888888888,0.3174867846879767,0.8164,0.4615894039735099,0.42105263157894735,0.3367756741250717,0.33225756877209156,0.13157894736842105,1.0
3245,0.5600265661862309,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.015659955257270694,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.4130627594281051,0.534,0.4615894039735099,0.44862155388471175,0.5884490342321668,0.582603350238205,0.15789473684210525,0.0
