,census_tract,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
3843,3.607862323917743e-05,0.5,0.0,0.0,0.0,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.01789709172259508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.12892468159080425,0.3368,0.7397350993377483,0.48370927318295737,0.18837253777012813,0.17335177501152604,0.763157894736842,0.0
3848,6.335758227038468e-05,0.5,0.0,0.0,0.0,1.0,0.0,0.03225806451612903,1.0,1.0,0.0,1.0,0.002237136465324385,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,0.0,0.0,1.0000000000000002,0.3333333333333333,0.08915457480398764,0.8695,0.7397350993377483,0.13283208020050125,0.04264677758653662,0.09159366835715382,0.9342105263157894,1.0
3939,0.8425723090406834,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.040268456375838924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.18991024231028486,0.2621,0.6178807947019868,0.38847117794486213,0.265251482118952,0.2741662824650376,0.2631578947368421,0.0
4105,0.6652828696056972,0.0,0.0,0.0,0.0,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.0044742729306487695,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.0,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,0.0,0.0,1.0000000000000002,1.0,0.1163657005002306,0.7326,0.47284768211920525,0.17794486215538846,0.09236947791164658,0.17135392654064852,0.6052631578947368,0.0
4107,0.665287190240818,0.5,0.0,0.0,0.0,1.0,0.0,0.03225806451612903,1.0,1.0,0.0,1.0,0.006711409395973153,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,0.0,0.0,1.0000000000000002,0.0,0.23663390924894454,0.8268000000000001,0.47284768211920525,0.2731829573934837,0.20386307133295084,0.28200399569694173,0.22368421052631576,1.0
4120,0.665288950173661,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.967741935483871,1.0,1.0,0.0,1.0,0.013422818791946308,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.4150140135523468,0.7371,0.47284768211920525,0.38095238095238093,0.48422260470453243,0.49500537882280615,0.14473684210526316,0.0
4171,0.8588507550551867,0.5,0.0,0.0,0.0,1.0,0.0,0.03225806451612903,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.875,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,0.0,0.0,1.0000000000000002,0.3333333333333333,0.2657608117217157,0.4491,0.42715231788079466,0.39348370927318294,0.3654618473895582,0.3734439834024896,0.3157894736842105,1.0
4186,0.6652995449693648,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.04250559284116331,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,1.0,0.7373257175293575,0.6828000000000001,0.47284768211920525,0.41604010025062654,0.7770128131573915,0.8944213923467035,0.15789473684210525,0.0
4270,0.5773285627420464,0.5,0.0,0.0,0.986111111111111,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.024608501118568233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.125,0.8888888888888888,0.07692307692307693,0.07692307692307693,0.5,0.3333333333333333,0.09523809523809523,0.07692307692307693,0.5,0.3333333333333333,1.0,0.2,0.5,0.3333333333333333,1.0,0.0,1.0000000000000002,1.0,0.1220065987866747,0.2207,0.5562913907284768,0.2807017543859649,0.13310384394721744,0.1925618564622714,0.513157894736842,0.0
4368,0.5773419030329805,0.5,0.0,0.0,0.0,1.0,0.0,0.0967741935483871,1.0,1.0,0.0,1.0,0.01789709172259508,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.25,1.0,0.07692307692307693,0.3076923076923077,0.5,1.0,0.09523809523809523,0.2692307692307693,0.5,1.0,1.0,0.8,0.5,1.0,1.0,0.0,1.0000000000000002,0.0,0.23258949160960724,0.6885,0.5562913907284768,0.3333333333333333,0.24497991967871485,0.2517289073305671,0.10526315789473684,1.0
