,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
4866,99999,4,1,1,2,0,2,1,4,2,2,2,2,25000,2,2,2,2,2,1,1,3,5,117,2,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,10,6919,3,79700,114,2321,3470,33,1
4867,16940,4,1,1,1,0,2,1,1,2,2,1,2,55000,3,2,2,2,2,1,3,3,5,130,2,9,2,5,1,4,5,8,1,4,1,5,1,4,1,1,6,10,8555,17,76700,111,2040,2810,38,1
4868,16940,0,1,1,2,0,2,1,4,1,2,2,2,65000,3,2,2,2,2,1,3,3,5,138,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,8555,17,76700,111,2040,2810,38,1
4869,16940,0,1,1,1,0,2,1,2,1,2,2,2,65000,3,2,2,2,2,1,1,3,5,43,2,9,2,5,1,4,5,8,1,4,1,5,1,4,1,3,6,4,4237,5,76700,117,1459,1812,23,0
4870,16940,0,1,1,0,0,2,1,31,1,2,2,2,105000,3,2,2,2,2,1,1,3,5,36,2,9,2,5,2,4,5,8,2,4,2,5,2,4,1,3,6,1,7965,17,76700,128,2462,3075,38,0
4871,16940,4,1,1,0,0,2,1,31,2,2,2,2,35000,2,2,2,2,2,1,1,3,5,79,2,9,2,5,2,4,5,8,2,4,2,5,2,4,1,1,6,10,6053,21,76700,96,1425,2501,56,1
4872,16940,0,1,1,2,0,2,1,31,1,2,2,2,65000,3,2,2,2,2,1,3,3,5,76,2,2,2,2,1,1,5,5,1,1,1,2,1,1,1,1,6,10,3717,36,76700,92,1006,1347,40,1
4873,16940,0,0,1,2,0,2,1,4,1,2,1,2,125000,2,2,2,2,2,1,1,3,5,152,2,2,1,1,1,1,5,5,1,1,1,2,1,1,1,1,6,10,4686,12,76700,152,1751,1966,36,1
4874,16940,4,1,1,2,0,2,1,4,2,2,2,2,25000,3,2,2,2,2,1,1,3,5,25,2,2,2,2,1,1,5,5,1,1,1,2,1,1,1,3,6,1,4916,19,76700,58,1317,1878,27,0
4875,16940,4,1,1,2,0,2,1,2,2,2,2,2,45000,3,2,2,2,2,1,1,3,5,75,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,3,6,10,3273,29,76700,55,621,1617,76,0
4876,16940,4,1,1,2,0,2,1,2,2,2,2,2,35000,2,2,2,2,2,1,1,3,5,65,2,2,2,2,1,1,5,5,1,1,1,2,1,1,1,1,6,10,3717,36,76700,92,1006,1347,40,1
4877,16940,0,0,1,0,0,2,1,31,1,2,2,2,55000,2,2,2,2,2,1,1,3,5,40,2,9,1,5,1,4,5,8,1,4,2,5,1,4,1,1,6,10,6053,21,76700,96,1425,2501,56,1
4878,99999,4,1,1,2,0,2,1,2,2,2,1,2,25000,2,2,2,2,2,1,1,3,5,163,2,2,2,2,1,2,5,5,1,2,1,2,1,2,1,1,6,10,6987,19,79700,112,1446,2284,25,1
4879,16940,4,1,1,2,0,2,1,31,2,2,2,2,35000,2,2,2,2,2,1,1,3,5,111,2,2,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,10,7965,17,76700,128,2462,3075,38,1
4880,16940,4,1,1,2,0,2,1,2,2,2,1,2,45000,2,2,2,2,2,1,1,3,5,75,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,3717,36,76700,92,1006,1347,40,1
4881,16940,4,1,1,2,0,2,1,4,2,2,2,2,55000,2,2,2,2,2,1,1,3,5,208,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,4237,5,76700,117,1459,1812,23,1
4882,16940,4,1,1,2,0,2,1,4,2,2,2,2,65000,2,2,2,2,2,1,1,3,5,94,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,4916,19,76700,58,1317,1878,27,1
4883,16940,4,1,1,1,0,2,1,2,2,2,1,2,45000,2,2,2,2,2,1,1,3,5,70,2,9,2,5,1,4,5,8,1,4,1,5,1,4,1,1,6,10,3717,36,76700,92,1006,1347,40,1
4884,16940,0,1,1,2,0,2,1,31,1,2,2,2,115000,3,2,2,2,2,1,1,3,5,53,2,2,2,2,2,1,5,5,1,1,1,2,1,1,1,3,6,1,8158,9,76700,113,2682,3341,23,0
4885,16940,4,1,1,2,0,2,1,2,2,2,1,2,55000,2,2,2,2,2,1,1,3,5,88,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,5283,11,76700,138,1702,1910,19,1
4886,16940,4,1,1,1,0,2,1,4,2,2,2,2,35000,2,2,2,2,2,1,1,3,5,100,2,9,2,5,2,4,5,8,2,4,1,5,2,4,1,1,6,10,4237,5,76700,117,1459,1812,23,1
4887,16940,4,1,1,0,0,2,1,31,2,2,2,2,75000,3,2,2,2,2,1,1,3,5,83,2,9,2,5,1,4,5,8,1,4,2,5,1,4,1,3,6,4,8555,17,76700,111,2040,2810,38,0
4888,16940,4,1,1,0,0,2,1,31,2,2,2,2,25000,2,2,2,2,2,1,1,3,5,52,2,9,2,5,2,4,5,8,2,4,2,5,2,4,1,1,6,10,4332,18,76700,89,742,1804,76,1
4889,99999,4,1,1,0,0,2,1,2,2,2,1,2,25000,3,2,2,2,2,1,3,3,5,10,2,9,2,5,1,4,5,8,1,4,2,5,1,4,1,3,6,1,4458,6,79700,88,976,1856,64,0
4890,16940,4,1,1,2,0,2,1,4,2,2,1,2,85000,2,2,2,2,2,1,1,3,5,166,2,2,2,2,2,2,5,5,2,2,1,2,2,2,1,1,6,10,2497,15,76700,111,587,746,32,1
