,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
150,150,31084,0,1,1,2,1,2,1,32,1,2,2,2,275000,2,2,2,2,2,1,1,3,5,115,2,1,2,2,2,2,5,5,2,2,1,2,2,2,1,1,1,10,4154,71,73100,116,989,1183,58,0
346,346,41500,0,0,1,1,71,2,1,1,1,2,2,2,385000,3,2,2,2,2,1,1,3,5,136,2,10,1,5,2,4,5,8,2,4,1,5,2,4,2,1,2,10,7277,84,74100,105,882,1465,29,0
413,413,41740,0,1,1,2,0,2,1,32,1,2,2,2,505000,3,2,2,2,2,1,1,3,5,86,2,9,2,2,1,1,5,5,1,1,1,2,1,1,2,1,6,10,11256,48,86300,200,2444,3102,14,1
1570,1570,40900,4,1,1,2,0,2,1,2,2,2,2,2,65000,3,2,2,2,2,1,1,3,5,120,8,9,2,2,2,2,5,5,2,2,2,1,2,2,1,1,6,1,4206,25,84000,187,1298,1451,20,1
1536,1536,40900,4,1,1,1,0,2,1,31,2,2,1,2,115000,3,2,1,2,2,1,1,3,5,142,2,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,9,3850,36,84000,105,682,1053,42,1
1072,1072,11244,4,1,1,1,0,2,1,4,2,2,1,2,255000,3,2,1,2,2,1,2,3,5,569,1,10,2,5,2,4,5,8,2,4,1,5,2,4,2,1,6,9,5322,62,97900,58,480,1272,43,1
394,394,40900,1,1,1,0,71,2,2,32,1,2,2,2,225000,2,2,2,2,2,1,1,3,5,0,8,10,2,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,5580,66,84000,44,709,1741,60,0
911,911,31084,4,1,1,0,71,2,1,4,2,2,1,2,155000,2,2,1,2,2,1,1,3,5,669,3,10,2,5,2,4,5,8,2,4,2,5,2,4,2,1,6,10,6233,41,73100,206,1780,1927,25,0
1476,1476,41940,4,2,1,2,0,2,1,31,2,2,1,2,215000,3,2,1,2,2,1,1,3,5,830,3,9,1,2,2,2,5,5,2,2,1,2,2,2,2,1,6,10,5338,63,129900,137,1448,1712,56,1
1259,1259,41884,4,1,1,2,0,2,1,2,2,2,1,2,75000,2,2,1,2,2,1,1,3,5,238,8,9,2,2,2,2,5,6,2,2,1,2,2,2,1,1,6,10,5252,58,133800,130,802,1004,76,0
