,Unnamed: 0,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
1343,0.030870015,0.255402554,0,0.5,0,1,0,1,0,1,0,0.000900901,0.000900901,0.000900901,0.003333951,1,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.085269535,0.000900901,0,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.05,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0,0.008108108,0.271039942,0.767676768,0.818410042,0.130801688,0.057258336,0.196898366,0.802631579,1
1453,0.03339846,0.255402554,0.8,0.5,0,1,0,1,0,0.967741935,1,0.000900901,0.000900901,0.000900901,0.002963512,1,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.085422897,0.001801802,0.001801802,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.05,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0.004504505,0.002702703,0.265035029,0.414141414,0.818410042,0.320675105,0.20882452,0.37607311,0.960526316,1
1531,0.035191357,0.255402554,0,0.5,0,0,0,1,0,0,0,0.000900901,0.000900901,0.000900901,0.004445268,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083889272,0,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.408970976,0.333333333,0.818410042,0.337552743,0.448635904,0.447521462,0.855263158,0
1539,0.035375244,0.255402554,0.8,0.5,1,1,0,1,0,0.967741935,1,0.000900901,0.000900901,0.000900901,0.004074829,1,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.093014339,0.001801802,0.001801802,0.076923077,0.076923077,0.5,0.333333333,0.023255814,0.1,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0.004504505,0.008108108,0.323901374,0.080808081,0.818410042,0.447257384,0.406197373,0.355857103,0.578947368,1
1625,0.037352029,0.35300353,0,0.5,0,1,0,1,0,0.967741935,0,0.000900901,0.000900901,0.000900901,0.008149657,1,0.000900901,0.000900901,0.000900901,0.000900901,0,1,0.001801802,0.003603604,0.094241239,0.001801802,0.001801802,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.05,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0,0.005405405,0.125739241,0.777777778,0.768200837,0.092827004,0.006062647,0.068402105,0.578947368,1
1680,0.038616251,0.255402554,0.4,1,1,1,0,1,0.666666667,0.967741935,0,0.000900901,0.000900901,0.000900901,0.009631413,1,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.087263247,0.001801802,0.001801802,0.076923077,0,0.5,0.333333333,0.046511628,0.1,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0.004504505,0.005405405,0.287416978,0.262626263,0.818410042,0.535864979,0.411586393,0.348103019,0.5,1
1759,0.040432134,0.255402554,0,0.5,1,1,0.986111111,1,0,0.967741935,0,0.000900901,0.000900901,0.000900901,0.006297462,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.083352504,0.000900901,0.001801802,0.076923077,0.076923077,1,0.666666667,0.093023256,0.1,1,0.666666667,0,0.2,1,0.666666667,0,0,0,0.008108108,0.654262578,0.03030303,0.818410042,0.535864979,0.861232738,0.75214622,0.671052632,0
1834,0.042156074,0.255402554,0.2,0.5,0,1,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.00703834,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.085499578,0.001801802,0,0.076923077,0.076923077,0.5,0.333333333,0.046511628,0.05,0.5,0.333333333,0,0.2,0.5,0.333333333,0,0,0,0.008108108,0.309980893,0.434343434,0.818410042,0.383966245,0.407881442,0.401550817,0.75,0
2067,0.04751178,0.148601486,0,0.5,0,0.5,0.986111111,0,0,0,0,0.000900901,0.000900901,0.000900901,0.008149657,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.08496281,0.005405405,0.008108108,0.076923077,0.307692308,1,1,0.046511628,0.175,1,1,0,0.8,1,1,0,0.000900901,0,0.008108108,0.673187153,0.292929293,1,0.443037975,0.750757831,0.768485184,0.486842105,0
2069,0.047557752,0.148601486,0,0.5,0,0,0.986111111,1,0,0,0,0.000900901,0.000900901,0.000900901,0.006667901,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.089640365,0.005405405,0.005405405,0.076923077,0.076923077,1,0.666666667,0.046511628,0.05,1,0.666666667,0.2,0.2,1,0.666666667,0,0.000900901,0,0.008108108,0.414157038,0.575757576,1,0.215189873,0.380599528,0.474383827,0.855263158,0
2070,0.047580738,0.35300353,0.2,0.5,0,0,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.012224486,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.086189709,0.005405405,0.008108108,0.076923077,0.307692308,0,1,0.046511628,0.175,0,1,0.2,0.8,0,1,0,0.000900901,0,0.008108108,0.547083978,0.262626263,0.768200837,0.396624473,0.627147188,0.622542232,0.657894737,0
2099,0.048247328,0.148601486,0.2,0.5,0,0,0.986111111,1,0.333333333,0,0,0.000900901,0.000900901,0.000900901,0.005927024,0.5,0.000900901,0.000900901,0.000900901,0.000900901,0,0,0.001801802,0.003603604,0.089563684,0.001801802,0.008108108,0.076923077,0.307692308,0.5,1,0.046511628,0.175,0.5,1,0.2,0.8,0.5,1,0,0,0,0.008108108,0.483486489,0.535353535,1,0.253164557,0.369147861,0.454167821,0.828947368,0
