,Unnamed: 0,Unnamed: 0.1,derived_msa-md,derived_loan_product_type,derived_ethnicity,derived_race,derived_sex,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,hoepa_status,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,income,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,co-applicant_ethnicity-1,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,co-applicant_race-1,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,submission_of_application,initially_payable_to_institution,aus-1,denial_reason-1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,action_taken
0,0,0.0,1.0,0.4,0.5,0.5,0.5,0.0277777777777777,0.0,0.6666666666666667,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.019047619047619,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0300101509686615,0.0009009009009009,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.1627906976744186,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0081081081081081,0.2734272110221862,0.1764705882352941,1.0,0.7105263157894737,0.2774049217002237,0.2672948177535333,0.5263157894736842,1.0
1,1,0.0001747335313646,0.1622016220162201,0.4,0.5,0.5,0.5,0.0,1.0,0.6666666666666667,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.013095238095238,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0292866244789529,0.0,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.1627906976744186,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0018018018018018,0.0,0.0009009009009009,0.4397730726370175,0.1058823529411764,0.9510664993726474,0.6513157894736842,0.5302013422818792,0.4745846764195388,0.75,0.0
2,3,0.000524200594094,0.1694016940169401,0.4,0.0,0.5,0.5,0.0,1.0,0.6666666666666667,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0119047619047619,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0298805641346839,0.0009009009009009,0.0081081081081081,0.0,0.3076923076923077,0.5,1.0,0.0930232558139534,0.1627906976744186,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0018018018018018,0.0045045045045045,0.0072072072072072,0.4747239388106575,0.1411764705882353,0.9623588456712672,1.0,0.6528709917971662,0.4874783039920655,0.4736842105263157,0.0
3,4,0.0006989341254586,1.0,0.8,0.5,0.5,1.0,0.0,1.0,0.0,0.0967741935483871,1.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0035714285714285,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0304529059847519,0.0,0.0,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.0930232558139534,0.5,0.3333333333333333,0.0,0.25,0.5,0.3333333333333333,0.0,0.0018018018018018,0.0045045045045045,0.0045045045045045,0.5617465302400972,0.2352941176470588,1.0,0.5197368421052632,0.5137956748695003,0.5179766922886189,0.513157894736842,0.0
4,5,0.0008736676568233,0.1622016220162201,0.4,0.5,0.5,0.5,0.0,1.0,0.6666666666666667,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0107142857142857,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0291354398393123,0.0,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.1627906976744186,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0018018018018018,0.0,0.0,0.4397730726370175,0.1058823529411764,0.9510664993726474,0.6513157894736842,0.5302013422818792,0.4745846764195388,0.75,0.0
5,6,0.001048401188188,0.1694016940169401,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0404761904761904,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0303125202479428,0.0018018018018018,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.1627906976744186,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0081081081081081,0.8069091277479485,0.2,0.9623588456712672,0.8421052631578947,0.9179716629381058,0.762459707413836,0.5,1.0
6,7,0.0012231347195526,0.1694016940169401,0.4,0.5,0.5,0.5,0.0,1.0,0.6666666666666667,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0214285714285714,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,1.0,0.0,0.0,0.0,0.0299345586488412,0.0009009009009009,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.1627906976744186,0.5,1.0,0.0,1.0,0.5,1.0,0.0,0.0018018018018018,0.0,0.0045045045045045,0.4292371593556884,0.0588235294117647,0.9623588456712672,0.7697368421052632,0.5439970171513795,0.449293330027275,0.3026315789473684,0.0
7,8,0.0013978682509173,1.0,0.8,0.5,0.5,0.0,0.0,1.0,0.0,0.032258064516129,1.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0035714285714285,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0301829334139651,0.0,0.0081081081081081,0.0769230769230769,0.3076923076923077,0.5,1.0,0.0930232558139534,0.1627906976744186,0.5,1.0,0.2,1.0,0.5,1.0,0.0,0.0,0.0045045045045045,0.0081081081081081,0.6940532874075576,0.1058823529411764,1.0,0.8486842105263157,0.744220730797912,0.5702950657079098,0.3552631578947368,1.0
8,9,0.001572601782282,1.0,0.4,0.5,1.0,1.0,0.0,1.0,0.6666666666666667,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0380952380952381,1.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0302369279281225,0.0,0.0018018018018018,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0,0.0930232558139534,0.5,0.3333333333333333,0.0,0.25,0.5,0.3333333333333333,0.0,0.0018018018018018,0.0,0.0027027027027027,0.601053591328133,0.1294117647058823,1.0,0.8026315789473684,0.6092468307233407,0.8720555417803124,0.2894736842105263,0.0
9,12,0.002096802376376,1.0,0.0,0.5,1.0,1.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0321428571428571,0.0,0.0,0.0009009009009009,0.0009009009009009,0.0009009009009009,0.0,0.0,0.0018018018018018,0.0036036036036036,0.0336169845143733,0.0018018018018018,0.0009009009009009,0.0769230769230769,0.0769230769230769,0.5,0.3333333333333333,0.0930232558139534,0.0930232558139534,0.5,0.3333333333333333,0.2,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.0081081081081081,1.0,0.1529411764705882,1.0,0.8355263157894737,0.965697240865026,0.8651128192412596,0.1973684210526315,1.0
